27,"Orchid Room, Brother Hotel 兄弟大飯店-蘭花廳","Brother Hotel’s ""Taiwanese Cuisine Orchid Room"" will be always the best place for either giving a feast or just having some snakes to taste all kinds of traditional Taiwanese cuisines. From soft and tender Fried Dried Radish Omelet with high nutritive value, Fried Milk Fish, rice porridge, Tainan style peddler noodles, to Orchid Room’s specialties like Sauteed Pig’s Liver, Stirfried Clams with Soy-bean Sauce, and Stir-fried Oysters with Fermented Soybeans are all foodies’ best choices.
Daily 11:00~15:00 & 17:00~22:30","No. 255, Sec. 3, Nanjing E. Rd., Songshan Dist., Taipei City Taiwan, R.O.C",Nanjing Fuxing,https://www.travel.taipei/en/shop/details/610,
28,Tu Hsiao Yueh Dan-tsu Noodles 度小月擔仔麵,"Founded in Tainan 104 years ago, Tu Hsiao Yueh has brought its traditional flavors north to Taipei. The danzih noodles here are made with minced meat stewed at a high temperature and served with sprouts, dried shrimp, cilantro, pureed garlic and black vinegar. Each small bowl is packed with a distinctive old-time flavor that is also reflected in the restaurant decor.
11:30~23:00, Sunday:11:30~21:30","1F., No. 12, Alley 8, Lane 216, Sec. 4, Zhongxiao E. Rd., Da'an Dist., Taipei City Taiwan, R.O.C",Zhongxiao Dunhua,https://www.travel.taipei/en/shop/details/615,
29,Laotianlu Braised Foods 老天祿滷味,,"No.55, Sec.2, Wuchang St., Wanhua Dist., Taipei City Taiwan, R.O.C",Ximen,https://www.travel.taipei/en/shop/details/614,
30,Ay-Chung Flour-Rice Noodle 阿宗麵線,"Walk down Emei Street and you are bound to see folks holding green bowls of rice noodles from this popular Ximending institution. Ay-Chung's slurpingly smooth noodles are served in a sweet and sour broth flavored with salt cured intestines, skipjack tuna, and shredded bamboo shoots and garnished with cilantro, basil, pureed garlic, and a sprinkle of dark vinegar.
Mon. - Thu. 09:30 - 22:30
Fri. - Sun. 09:30 - 11:00","No. 8-1, Emei St., Wanhua Dist., Taipei City Taiwan, R.O.C",Ximen,https://www.travel.taipei/en/shop/details/609,
31,Hsin Tung Yang 新東陽,"During Taiwan’s era of economic take-off, industry and commerce started to develop, and many food companies sprouted. In 1967, Hsin Tung Yang started to produce and sell processed meat products. The Company’s earliest operation location was at the current retail shop on Wuchang Street, called the “Hsin Tung Yang Barbecue Meat Company”, whose main business is wholesale.
 
 Hsin Tung Yang adheres to quality assurance, and is the first company in Taiwan to be awarded the international ISO-9001 certification and superior meat logo from the Taiwan Meat Development Foundation, which shows their effort in ensuring the freshness of their products. With the goals of refining and internationalizing Chinese cuisine, and continuously upgrading through production technology, operation and management, marketing and research and development, Hsin Tung Yang flourishes and has established a worldwide reputation, laying the global foundation for Taiwan’s food industry development.
 
 The wide variety of products ranges from bacon, meat floss to barbecued meat, which are all familiar to everybody. The meat floss is fluffy but not greasy, and one can smell the rich aroma upon opening the packages; the barbequed meat is very springy, not too dry, and very juicy, and has a smooth and tender mouth feel; other products such as pineapple cake, meat sauce, canned food, etc., also carry Hsin Tung Yang’s unique flavor, and Hsin Tung Yang has also come out with many new tasty flavors.
 Mai’s barbeque meat, named after the Company’s boss, is an authentic Hong Kong style barbeque meat self-made by Hsin Tung Yang. It has a unique sweet flavor.
Daily 09:00-21:30","No. 20-1, Sec. 1, Wuchang St., Zhongzheng Dist., Taipei City Taiwan, R.O.C",Ximen,https://www.travel.taipei/en/shop/details/632,
32,Formosa Chang 鬍鬚張美食文化館,"Once a solitary food stall next to Shuanglian Market, Formosa Chang has grown into an international chain with 29 restaurants in Taiwan and four in Japan. The house specialty is Taiwanese-style soy stewed meats served on rice. The restaurant's trademark dish won the ""Most Popular Award"" at the 9th Taipei Traditional Food Carnival. This is a good spot for an authentic taste of local cuisine.
Daily 10:00~01:30","No. 62, Ningsia Rd., Datong Dist., Taipei City Taiwan, R.O.C",Shuanglian,https://www.travel.taipei/en/shop/details/611,
33,Shanghai Pavilion 上海醉月樓,"Acclaimed as “Taipei's Best Shanghainese Restaurant”, Shanghai Pavilion offers a wide variety of palatable creations and an excellent selection of both Chinese and Western liquors and teas. Connoisseurs of fine dining are guaranteed a delightful culinary experience, contemporary surroundings, and unparalleled views of Taipei City.
11:30 am ~ 2:30 pm
6:00 pm ~ 9:30 pm
備註事項:mail:foodandbeverage.tpe@shangri-la.com","39F, 201 Tun Hwa South Road, Section 2, Da'an Dist., Taipei City Taiwan, R.O.C",Liuzhangli,https://www.travel.taipei/en/shop/details/620,
34,Sheraton Taipei Hotel~Pizza Pub 喜來登大飯店-比薩屋,"Lunch 11:30~14:30 
Dinner 18:00~22:00","B1, No.12, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist., Taipei City Taiwan, R.O.C",Shandao Temple,https://www.travel.taipei/en/shop/details/616,
35,Aiguo East Road - Bridal Street 愛國東路-婚紗街,"Free admission
備註事項:MRT Chiang Kai-shek Memorial Hall Station - On foot 5 min.","Aikuo E. Rd. between Roosevelt Rd. and HangZhou S. Rd, Zhongzheng Dist., Taipei City Taiwan, R.O.C",Chiang Kai-Shek Memorial Hall,https://www.travel.taipei/en/shop/details/629,
36,Chili House Restaurant,"Over half a century, Chili House Restaurant, just like an old friend, provides you the genuine Si-Chuan cuisines with the warmest hospitality. Take the Wantons (dumplings) in Red Chili Oil, the best selling at Chili House Restaurant for 5,000 pieces a day, as an example, the red chili oil and sauce always need to be prepared for 4-5 hours for their daily use. But Chili House Restaurant not only keeps the Si-Chuan genuine flavor in their menu but also develop many new dishes for satisfying the young generation and metropolitan.
Daily11:30-14:30、17:30-21:30","No. 250-3, Sec. 4, Zhongxiao E. Rd., Taipei, Da'an Dist., Taipei City Taiwan, R.O.C",Zhongxiao Dunhua,https://www.travel.taipei/en/shop/details/601,
37,Ji-fan 喫飯食堂,"It mainly serves traditional Taiwanese popular dishes. The rice mixed with pork oil has a memorable smell because of using high quality oil. In addition, the uncommon Yilan ancient braised pork and fry pork liver are greatly recomended.
Daily 11:30~14:00、17:00~21:00","No. 5, Lane 8, Yongkang St., Da'an Dist., Taipei City Taiwan, R.O.C",Dongmen,https://www.travel.taipei/en/shop/details/622,
38,Food-U Foodstuffs: Beef Jerky Gift Box 馥御牛肉干-馥御富貴肉干禮盒(和平店),AM09:30~PM22:00,"No.95-1, Sec. 2, Heping E. Rd., Da'an Dist., Taipei City Taiwan, R.O.C",Technology Building,https://www.travel.taipei/en/shop/details/637,
39,Kuo Yuan Ye 郭元益,"Founded over a century ago, this family-run bakery has grown into a hugely successful 31-store chain. In the 1990s, the bakery added western baked goods to its product offerings. Its western cookie gift sets pioneered new ground in Taiwan's wedding cookie market and also won Kuo Yuan Ye the ""Top-10 National Design Award"" in 1993. Since 2003, the bakery has been picked six consecutive times as the top ""Ideal Brand"" by Management magazine. Kuo Yuan Ye also took third-place in the creative category of a citywide pineapple cake competition.
Daily 09:30~21:30","No. 546, Wenlin Rd., Shilin Dist., Taipei City Taiwan, R.O.C",Shilin,https://www.travel.taipei/en/shop/details/605,
40,Hai Pa Wang Restaurant (flagship branch) 海霸王旗艦店,"The flagship branch of Hai Pa Wang Restaurant at the intersection of Zhongshan N. Rd. and Minzu E. Rd. features a 9,900 m2 interior designed by a British artist. Among the restaurant’s modernist details, the picture windows offer a view of the Grand Hotel in the distance, which is particularly dazzling at sunset! 
The ground-floor “Gold Medal Hot Pot” promises to meet your gastronomic needs with delicate soups, in addition to a colorful array of seafood and meat options. 
On the second floor, a seafood buffet is known for a collection of salads as well as international cuisines. Also available in Hai Pa Wang are lobsters, shark fins and abalones of the best quality and the most authentic Taiwanese delicacies; catering services are available at any location you desire. 
A perfect venue for wedding receptions, the restaurant offers newlywed couples a comprehensive “dream wedding” package with qualified facilities and attending staff. 
Weekdays: 11:30-14:00, 17:30-21:30
Weekends: 11:00-14:00, 17:00-21:30","No. 59, Sec. 3, Zhongshan N. Rd., Zhongshan Dist., Taipei City Taiwan, R.O.C",Yuanshan,https://www.travel.taipei/en/shop/details/659,
41,Beef Restaurant 牛店牛肉麵,"From its frescoes of cattle to its wood and stone design, Beef Restaurant’s interior design leaves people gaping. Its light soup not only does not have an oily taste, but it possesses an uniquely pleasant aroma. Its signature dish, ""Manhan Beef Noodle Soup,” fills your bowl with beef, beef tendon and beef stomach – a portion size certain to leave you satisfied. Those who enjoy strong flavors can add the restaurant’s special spicy beef marrow sauce. Simply delectable! (My Taipei - 2005 Winter)
Tue ~ Sun 11:30-21:00, Closed on Mondays.","No.91, Kunming St, Wanhua Dist., Taipei City Taiwan, R.O.C",Ximen,https://www.travel.taipei/en/shop/details/680,
42,Laotienlu 上海老天祿食品滷味,"It originally served Shanghai snacks and pickie foods. Now it serves the braised foods by stewing 14 kinds of herbs and double cooking. After stewing, meats are cooled down immediately to absorb the herb flavor so that it tastes more chewy.
Mon.-Sun.10:00-21:00","No. 56, Chengdu Rd., Wanhua Dist., Taipei City Taiwan, R.O.C",Ximen,https://www.travel.taipei/en/shop/details/692,
43,Miramar Cinemas (Dazhi) 美麗華大直影城,"When high-resolution IMAX films are projected onto a theater screen, they produce a picture quality that is extraordinarily crystal-clear and natural. Such images generate a greater sense of reality as they remain perfectly projected and strikingly intense, without looking coarse or grainy, onto a screen 10 times larger than the usual 35mm ones. IMAX theaters at their inception mostly showed educational films: natural science, technologies, environmental protection, zoology, geography and culture. A good example of such a theatre is the Space Theater at Taichung’s National Museum of Natural Science.
 
 Miramar Cinemas spent nearly NT$ 270 million on the IMAX theater project that includes 100% wool carpeting and a 22-meter-high vaulted ceiling. With its crimson base tone accentuated with amber-hued streamlined LED lights, the theater interior looks stately and opulent. Miramar Cinemas devised its sound-proof equipment according to the strictest standards, making it 2 to 3 times more effective than a typical theater. The 21.16-meter-tall, 28.8-meter-wide multiplex screens come in curved and rectangular shapes to avoid any blind spots. They are painted silver to give the audience a mindboggling visual impact with all the images reflected right onto them.
Business hours subject to movie schedules","6/F, No. 22, Jingye 3rd Rd., Zhongshan Dist., Taipei City Taiwan, R.O.C",Jiannan Rd.,https://www.travel.taipei/en/shop/details/693,
44,Mu Ji Beef Noodles 穆記牛肉麵館,"Legend has it that the beef noodle recipe of this popular establishment was secreted out of the Qing imperial kitchen by a chef who scribbled it on his shirt. Though the story is subject to doubt, there is no question that Mu Ji's beef noodles are fit for a king. The hand-rolled noodles are topped with a generous portion of chewy beef. Both the stewed and braised varieties are sure to satisfy. The restaurant is also known for its beef buns.
Open daily 11:00-21:00","1F., No.239, Wuxing St., Xinyi Dist., Taipei City Taiwan, R.O.C",Taipei 101/World Trade Center,https://www.travel.taipei/en/shop/details/676,
45,Celestial Restaurant 天廚菜館,"The high-quality and delicate cuisine with regular price is the reason why Celestial Restaurant can be so popular among customers and had won so many awards. ""Peking Roasted Duck"" is using traditional skills inherited from the experienced chef, and the crispy skin and juicy flesh make this delicacy become the specialty of Celestial Restaurant. Besides, customers can experience, too, the chef’s authentic culinary skills by enjoying those delicate and popular dishes like “Fried Shredded Chicken with Peas”.
Daily am11:00-14:00、pm17:00-21:00，Closed:The Dragon Festival, The Moon Festival","3F., No. 1, Nanjing W. Rd., Zhongshan Dist., Taipei City Taiwan, R.O.C",Zhongshan,https://www.travel.taipei/en/shop/details/649,
46,Kenting Dan Dan Bubble Milk Tea 墾丁蛋蛋ㄉㄨㄞ奶,"Standing on a busy street corner near National Taiwan University, Kenting Dan Dan Bubble Milk Tea draws much attention with its funny store name as well as youthful decorative details, including the walls covered in black spots reminiscent of cows. Such creative ideas helped to make it a most distinctive brand image.
 
 Although its competitors mushroomed during the “Pearl Milk Tea craze”, Kenting Dan Dan adopted brown sugar and fresh milk in its recipe, knowing that only those dare to innovate will survive. Rich in calcium, iron and minerals, the low-calorie brown sugar is now a popular beverage ingredient, and the fresh milk provides a natural, tasty source of nutrition. The best-sellers at Kenting Dan Dan not only quench the summer thirst with herbal jelly, mung beans and red beans, but they also ensure good health.
Opening Hours: Sun-Thu, 11:30AM-10:30PM; Fri-Sat 11:30AM-11:30PM","No. 165, Section 3, Tingzhou Rd., Zhongzheng Dist., Taipei City Taiwan, R.O.C",Gongguan,https://www.travel.taipei/en/shop/details/682,
47,Dalai Braised Pork Rice Eatery 大來小館(永康店),"11:00-21:30 everyday
Dalai Eatery has not only won the first prize in braised pork rice, but its other dishes have also won praise from food lovers. It is a good choice for simple dining or hosting a banquet. Its dishes include: stuffed eggplant with meat, stewed cabbage with plaice, braised pork trotter, intestine, pig belly, garlic oyster, etc.; other signature dishes such as crispy squid rolls, steamed clam with melon, fried milkfish belly, fried garlic sprouts with dried shrimp, fried Chinese chives with dried shrimp, etc, are just some of the numerous dishes highly recommended. Smart food lovers will let the boss recommend the dishes, and just sit back to enjoy the wonderfully prepared food.","No.2, Lane 7, Yongkang Street (Yongkang Branch), Da'an Dist., Taipei City Taiwan, R.O.C",Dongmen,https://www.travel.taipei/en/shop/details/661,
48,"Shanghai Court, Hyatt Hotel Taipei 臺北君悅酒店-雲錦中餐廳","The classic Shanghai cuisines are strongly promoted by Shanghai Court of Hyatt Hotel Taipei; and the chef’s best recommendations will be the ""Pot-sticker-like Bean Curd Sheet with Fried Duck and Wild Mushrooms” which uses fried duck and wild mushrooms as fillings to be wrapped by bean curd sheets and tastes both crispy and tender. The other creative dish ""Cabbage and Roasted Wheat Glutens Stuffed with Chopped Streaky Pork"" is also popular and admirable in Shanghai Court that even if the gourmand will praise it pretty highly.
Daily11:30-14:30；18:00-21:30","2F., No.2, Songshou Rd., Xinyi Dist., Taipei City Taiwan, R.O.C",Taipei 101/World Trade Center,https://www.travel.taipei/en/shop/details/724,
49,Brother Hotel (Plum Blossom Room) 兄弟大飯店-梅花廳,"The Plum Blossom Room of Brother Hotel, a Cantonese restaurant, attracts a loyal customer base and tourists that leave it packed during business hours.
 
 Served on pushcarts in a genuine style of Cantonese High Tea, the colorful dim sum options available at Plum Blossom Room include shrimp dumplings, seafood rolls and crab roe shumai. Among the best-sellers are deep-fried shrimp rolls, rice noodle rolls, roasted cabbage, and juicy seafood-stuffed buns, a must-try.
 
 For those planning to throw banquets, engagement parties, or wedding receptions, the restaurant offers Taiwan abalone with scallops, crab and shark fin stew, lobster, and various other dishes for any desired menu combination.
Daily 09:00-21:30 (dessert available till 20:30)","2F., No. 255, Sec. 3, Nanjing E. Rd., Songshan Dist., Taipei City Taiwan, R.O.C",Nanjing Fuxing,https://www.travel.taipei/en/shop/details/712,
50,King Join (已歇業) 京兆尹,"The cuisine concept of King Join is to serve a taste of royal dishes while using healthy ingredients. Though this is thought to be old-fashioned. It seems to attract young customers. Royal dishes are now for everyone, not just for nobles.
11:00~22:00","No. 18, Siwei Rd., Da'an Dist., Taipei City Taiwan, R.O.C",Daan,https://www.travel.taipei/en/shop/details/723,
51,Chengzhong Beef Ramen King 城中牛肉拉麵大王,"Sichuan-style stewed beef ramen and spicy beef ramen are the best sellers at this long-time establishment. Big servings and low prices have won the shop a loyal clientele, so empty seats are generally hard to find. The spicy beef ramen, made with Chinese cabbage and a sweet, peppery flavor, is a particular favorite of female patrons.
1.Daily 10:00 to 20:00
2.Closed: First four days of the Lunar New Yea","No. 7, Lane 46, Sec. 1, Chongcing S. Rd., Zhongzheng Dist., Taipei City Taiwan, R.O.C",Ximen,https://www.travel.taipei/en/shop/details/695,
52,Grand Formosa-Brasserie 晶華酒店-柏麗廳,"Located on the first floor of the Grand Formosa Regent Taipei, this buffet style restaurant brings together creative cuisine from around the world. Scrumptious Chinese, western and Japanese dishes vie for your attention, presenting a truly global feast.
Breakfast - 6:30am to 10:00am
Lunch - 11:30am to 2:00pm
Afternoon tea - 2:30pm to 4:30pm
Dinner - 5:30pm to 9:30pm","No. 41, Sec. 2, Zhongshan N. Rd., Zhongshan Dist., Taipei City Taiwan, R.O.C",Zhongshan,https://www.travel.taipei/en/shop/details/698,
